(400, 13) (50, 13)
train_loss=-5.795, state pred rel l2 error: 3.056, cumulative reward pred abs error: 0.889
train_loss=-4.984, state pred rel l2 error: 2.905, cumulative reward pred abs error: 0.882
train_loss=-5.700, state pred rel l2 error: 2.374, cumulative reward pred abs error: 0.871
train_loss=-6.659, state pred rel l2 error: 2.415, cumulative reward pred abs error: 0.864
train_loss=-6.971, state pred rel l2 error: 2.434, cumulative reward pred abs error: 0.859
train_loss=-6.649, state pred rel l2 error: 2.273, cumulative reward pred abs error: 0.850
train_loss=-7.138, state pred rel l2 error: 2.149, cumulative reward pred abs error: 0.842
train_loss=-6.789, state pred rel l2 error: 2.108, cumulative reward pred abs error: 0.836
train_loss=-6.425, state pred rel l2 error: 2.087, cumulative reward pred abs error: 0.827
train_loss=-6.656, state pred rel l2 error: 2.044, cumulative reward pred abs error: 0.820
train_loss=-6.831, state pred rel l2 error: 1.726, cumulative reward pred abs error: 0.815
train_loss=-6.879, state pred rel l2 error: 2.076, cumulative reward pred abs error: 0.810
train_loss=-6.868, state pred rel l2 error: 2.230, cumulative reward pred abs error: 0.804
train_loss=-6.677, state pred rel l2 error: 2.046, cumulative reward pred abs error: 0.797
train_loss=-7.152, state pred rel l2 error: 1.571, cumulative reward pred abs error: 0.793
train_loss=-7.504, state pred rel l2 error: 1.592, cumulative reward pred abs error: 0.787
train_loss=-7.391, state pred rel l2 error: 1.529, cumulative reward pred abs error: 0.782
train_loss=-6.923, state pred rel l2 error: 1.491, cumulative reward pred abs error: 0.778
train_loss=-7.124, state pred rel l2 error: 1.750, cumulative reward pred abs error: 0.773
train_loss=-6.513, state pred rel l2 error: 1.236, cumulative reward pred abs error: 0.768
train_loss=-7.155, state pred rel l2 error: 1.648, cumulative reward pred abs error: 0.761
train_loss=-7.019, state pred rel l2 error: 1.700, cumulative reward pred abs error: 0.757
train_loss=-8.095, state pred rel l2 error: 1.632, cumulative reward pred abs error: 0.753
train_loss=-7.731, state pred rel l2 error: 1.880, cumulative reward pred abs error: 0.744
train_loss=-7.863, state pred rel l2 error: 2.667, cumulative reward pred abs error: 0.738
train_loss=-7.894, state pred rel l2 error: 2.778, cumulative reward pred abs error: 0.730
train_loss=-8.322, state pred rel l2 error: 3.257, cumulative reward pred abs error: 0.721
