(400, 13) (100, 13)
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
train_loss=2.635, state pred rel l2 error: 3.773, cumulative reward pred abs error: 0.954
train_loss=2.957, state pred rel l2 error: 3.398, cumulative reward pred abs error: 0.952
train_loss=2.667, state pred rel l2 error: 2.940, cumulative reward pred abs error: 0.947
train_loss=2.687, state pred rel l2 error: 3.633, cumulative reward pred abs error: 0.946
train_loss=2.711, state pred rel l2 error: 3.128, cumulative reward pred abs error: 0.946
train_loss=2.737, state pred rel l2 error: 2.998, cumulative reward pred abs error: 0.941
train_loss=2.454, state pred rel l2 error: 3.899, cumulative reward pred abs error: 0.935
train_loss=2.529, state pred rel l2 error: 2.759, cumulative reward pred abs error: 0.935
train_loss=2.619, state pred rel l2 error: 3.626, cumulative reward pred abs error: 0.931
train_loss=2.657, state pred rel l2 error: 3.100, cumulative reward pred abs error: 0.933
train_loss=2.472, state pred rel l2 error: 3.003, cumulative reward pred abs error: 0.933
train_loss=2.400, state pred rel l2 error: 4.118, cumulative reward pred abs error: 0.935
train_loss=2.727, state pred rel l2 error: 2.994, cumulative reward pred abs error: 0.932
train_loss=2.521, state pred rel l2 error: 2.548, cumulative reward pred abs error: 0.928
train_loss=2.497, state pred rel l2 error: 2.838, cumulative reward pred abs error: 0.928
train_loss=2.459, state pred rel l2 error: 2.952, cumulative reward pred abs error: 0.922
train_loss=2.115, state pred rel l2 error: 2.593, cumulative reward pred abs error: 0.920
train_loss=2.707, state pred rel l2 error: 2.384, cumulative reward pred abs error: 0.919
train_loss=2.442, state pred rel l2 error: 2.449, cumulative reward pred abs error: 0.919
train_loss=2.680, state pred rel l2 error: 2.695, cumulative reward pred abs error: 0.916
train_loss=2.648, state pred rel l2 error: 2.152, cumulative reward pred abs error: 0.914
train_loss=2.429, state pred rel l2 error: 2.492, cumulative reward pred abs error: 0.914
train_loss=2.277, state pred rel l2 error: 3.200, cumulative reward pred abs error: 0.915
train_loss=2.364, state pred rel l2 error: 2.485, cumulative reward pred abs error: 0.910
train_loss=2.023, state pred rel l2 error: 2.406, cumulative reward pred abs error: 0.910
train_loss=2.214, state pred rel l2 error: 2.315, cumulative reward pred abs error: 0.907
train_loss=2.639, state pred rel l2 error: 2.729, cumulative reward pred abs error: 0.909
train_loss=2.453, state pred rel l2 error: 2.679, cumulative reward pred abs error: 0.906
train_loss=2.242, state pred rel l2 error: 2.717, cumulative reward pred abs error: 0.902
train_loss=1.862, state pred rel l2 error: 2.183, cumulative reward pred abs error: 0.901
train_loss=2.424, state pred rel l2 error: 2.364, cumulative reward pred abs error: 0.898
train_loss=2.371, state pred rel l2 error: 1.803, cumulative reward pred abs error: 0.895
train_loss=2.057, state pred rel l2 error: 2.010, cumulative reward pred abs error: 0.895
train_loss=2.351, state pred rel l2 error: 2.171, cumulative reward pred abs error: 0.895
train_loss=2.022, state pred rel l2 error: 2.172, cumulative reward pred abs error: 0.892
train_loss=2.207, state pred rel l2 error: 1.901, cumulative reward pred abs error: 0.891
train_loss=2.170, state pred rel l2 error: 2.252, cumulative reward pred abs error: 0.889
train_loss=2.092, state pred rel l2 error: 1.971, cumulative reward pred abs error: 0.887
train_loss=2.428, state pred rel l2 error: 1.473, cumulative reward pred abs error: 0.885
train_loss=2.058, state pred rel l2 error: 2.134, cumulative reward pred abs error: 0.884
train_loss=2.074, state pred rel l2 error: 1.937, cumulative reward pred abs error: 0.882
train_loss=1.979, state pred rel l2 error: 1.753, cumulative reward pred abs error: 0.880
train_loss=2.102, state pred rel l2 error: 1.448, cumulative reward pred abs error: 0.877
train_loss=1.879, state pred rel l2 error: 1.679, cumulative reward pred abs error: 0.876
train_loss=1.904, state pred rel l2 error: 1.207, cumulative reward pred abs error: 0.874
train_loss=1.930, state pred rel l2 error: 1.624, cumulative reward pred abs error: 0.872
train_loss=2.177, state pred rel l2 error: 1.280, cumulative reward pred abs error: 0.871
