(400, 13) (100, 13)
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
train_loss=2.634, state pred rel l2 error: 3.758, cumulative reward pred abs error: 0.955
train_loss=2.944, state pred rel l2 error: 3.418, cumulative reward pred abs error: 0.952
train_loss=2.672, state pred rel l2 error: 2.945, cumulative reward pred abs error: 0.946
train_loss=2.698, state pred rel l2 error: 3.625, cumulative reward pred abs error: 0.946
train_loss=2.720, state pred rel l2 error: 3.129, cumulative reward pred abs error: 0.947
train_loss=2.756, state pred rel l2 error: 3.033, cumulative reward pred abs error: 0.941
train_loss=2.447, state pred rel l2 error: 3.923, cumulative reward pred abs error: 0.935
train_loss=2.518, state pred rel l2 error: 2.772, cumulative reward pred abs error: 0.935
train_loss=2.628, state pred rel l2 error: 3.653, cumulative reward pred abs error: 0.931
train_loss=2.655, state pred rel l2 error: 3.114, cumulative reward pred abs error: 0.933
train_loss=2.459, state pred rel l2 error: 2.983, cumulative reward pred abs error: 0.933
train_loss=2.395, state pred rel l2 error: 4.110, cumulative reward pred abs error: 0.935
train_loss=2.738, state pred rel l2 error: 3.044, cumulative reward pred abs error: 0.932
train_loss=2.536, state pred rel l2 error: 2.585, cumulative reward pred abs error: 0.928
train_loss=2.500, state pred rel l2 error: 2.865, cumulative reward pred abs error: 0.928
train_loss=2.470, state pred rel l2 error: 2.957, cumulative reward pred abs error: 0.922
train_loss=2.134, state pred rel l2 error: 2.601, cumulative reward pred abs error: 0.921
train_loss=2.708, state pred rel l2 error: 2.411, cumulative reward pred abs error: 0.920
train_loss=2.455, state pred rel l2 error: 2.428, cumulative reward pred abs error: 0.918
train_loss=2.696, state pred rel l2 error: 2.673, cumulative reward pred abs error: 0.917
train_loss=2.639, state pred rel l2 error: 2.101, cumulative reward pred abs error: 0.914
train_loss=2.405, state pred rel l2 error: 2.553, cumulative reward pred abs error: 0.915
train_loss=2.272, state pred rel l2 error: 3.223, cumulative reward pred abs error: 0.915
train_loss=2.366, state pred rel l2 error: 2.522, cumulative reward pred abs error: 0.910
train_loss=2.039, state pred rel l2 error: 2.408, cumulative reward pred abs error: 0.910
train_loss=2.227, state pred rel l2 error: 2.293, cumulative reward pred abs error: 0.907
train_loss=2.631, state pred rel l2 error: 2.683, cumulative reward pred abs error: 0.908
train_loss=2.448, state pred rel l2 error: 2.663, cumulative reward pred abs error: 0.906
train_loss=2.256, state pred rel l2 error: 2.753, cumulative reward pred abs error: 0.903
train_loss=1.844, state pred rel l2 error: 2.133, cumulative reward pred abs error: 0.901
train_loss=2.411, state pred rel l2 error: 2.362, cumulative reward pred abs error: 0.898
train_loss=2.362, state pred rel l2 error: 1.834, cumulative reward pred abs error: 0.895
train_loss=2.048, state pred rel l2 error: 1.975, cumulative reward pred abs error: 0.895
train_loss=2.360, state pred rel l2 error: 2.174, cumulative reward pred abs error: 0.894
train_loss=2.036, state pred rel l2 error: 2.147, cumulative reward pred abs error: 0.892
train_loss=2.216, state pred rel l2 error: 1.885, cumulative reward pred abs error: 0.891
train_loss=2.198, state pred rel l2 error: 2.237, cumulative reward pred abs error: 0.889
train_loss=2.105, state pred rel l2 error: 1.939, cumulative reward pred abs error: 0.887
train_loss=2.417, state pred rel l2 error: 1.442, cumulative reward pred abs error: 0.885
train_loss=2.067, state pred rel l2 error: 2.135, cumulative reward pred abs error: 0.884
train_loss=2.053, state pred rel l2 error: 1.946, cumulative reward pred abs error: 0.882
train_loss=2.004, state pred rel l2 error: 1.743, cumulative reward pred abs error: 0.879
train_loss=2.096, state pred rel l2 error: 1.438, cumulative reward pred abs error: 0.877
train_loss=1.887, state pred rel l2 error: 1.627, cumulative reward pred abs error: 0.876
train_loss=1.911, state pred rel l2 error: 1.202, cumulative reward pred abs error: 0.874
train_loss=1.940, state pred rel l2 error: 1.615, cumulative reward pred abs error: 0.872
train_loss=2.166, state pred rel l2 error: 1.291, cumulative reward pred abs error: 0.871
train_loss=1.842, state pred rel l2 error: 1.626, cumulative reward pred abs error: 0.869
train_loss=2.073, state pred rel l2 error: 1.430, cumulative reward pred abs error: 0.868
train_loss=1.914, state pred rel l2 error: 1.513, cumulative reward pred abs error: 0.866
train_loss=1.656, state pred rel l2 error: 1.183, cumulative reward pred abs error: 0.864
train_loss=1.794, state pred rel l2 error: 1.437, cumulative reward pred abs error: 0.863
train_loss=1.649, state pred rel l2 error: 1.083, cumulative reward pred abs error: 0.861
train_loss=1.837, state pred rel l2 error: 1.168, cumulative reward pred abs error: 0.860
train_loss=1.883, state pred rel l2 error: 1.418, cumulative reward pred abs error: 0.858
train_loss=1.516, state pred rel l2 error: 1.005, cumulative reward pred abs error: 0.856
train_loss=1.461, state pred rel l2 error: 0.984, cumulative reward pred abs error: 0.855
train_loss=1.752, state pred rel l2 error: 0.821, cumulative reward pred abs error: 0.853
train_loss=1.398, state pred rel l2 error: 0.641, cumulative reward pred abs error: 0.852
train_loss=1.457, state pred rel l2 error: 0.699, cumulative reward pred abs error: 0.850
train_loss=1.472, state pred rel l2 error: 0.807, cumulative reward pred abs error: 0.849
train_loss=1.318, state pred rel l2 error: 0.592, cumulative reward pred abs error: 0.848
train_loss=1.372, state pred rel l2 error: 0.615, cumulative reward pred abs error: 0.846
train_loss=1.367, state pred rel l2 error: 0.762, cumulative reward pred abs error: 0.845
train_loss=1.342, state pred rel l2 error: 0.900, cumulative reward pred abs error: 0.843
train_loss=1.316, state pred rel l2 error: 0.716, cumulative reward pred abs error: 0.842
train_loss=1.160, state pred rel l2 error: 0.923, cumulative reward pred abs error: 0.840
train_loss=1.325, state pred rel l2 error: 0.779, cumulative reward pred abs error: 0.839
train_loss=1.171, state pred rel l2 error: 0.867, cumulative reward pred abs error: 0.838
train_loss=1.553, state pred rel l2 error: 0.581, cumulative reward pred abs error: 0.837
train_loss=1.319, state pred rel l2 error: 0.674, cumulative reward pred abs error: 0.835
train_loss=1.355, state pred rel l2 error: 0.636, cumulative reward pred abs error: 0.834
train_loss=1.322, state pred rel l2 error: 0.854, cumulative reward pred abs error: 0.832
train_loss=1.252, state pred rel l2 error: 0.589, cumulative reward pred abs error: 0.831
train_loss=1.187, state pred rel l2 error: 0.614, cumulative reward pred abs error: 0.830
train_loss=1.649, state pred rel l2 error: 0.558, cumulative reward pred abs error: 0.829
train_loss=1.131, state pred rel l2 error: 0.383, cumulative reward pred abs error: 0.828
train_loss=1.300, state pred rel l2 error: 0.462, cumulative reward pred abs error: 0.826
train_loss=1.196, state pred rel l2 error: 0.432, cumulative reward pred abs error: 0.825
train_loss=1.214, state pred rel l2 error: 0.555, cumulative reward pred abs error: 0.823
train_loss=1.139, state pred rel l2 error: 0.508, cumulative reward pred abs error: 0.822
train_loss=1.039, state pred rel l2 error: 0.449, cumulative reward pred abs error: 0.820
train_loss=1.093, state pred rel l2 error: 0.421, cumulative reward pred abs error: 0.819
train_loss=1.023, state pred rel l2 error: 0.508, cumulative reward pred abs error: 0.817
train_loss=1.199, state pred rel l2 error: 0.367, cumulative reward pred abs error: 0.816
train_loss=0.975, state pred rel l2 error: 0.381, cumulative reward pred abs error: 0.814
train_loss=1.108, state pred rel l2 error: 0.307, cumulative reward pred abs error: 0.813
train_loss=1.109, state pred rel l2 error: 0.472, cumulative reward pred abs error: 0.811
train_loss=1.032, state pred rel l2 error: 0.319, cumulative reward pred abs error: 0.810
train_loss=0.957, state pred rel l2 error: 0.328, cumulative reward pred abs error: 0.808
train_loss=0.975, state pred rel l2 error: 0.346, cumulative reward pred abs error: 0.807
train_loss=0.981, state pred rel l2 error: 0.279, cumulative reward pred abs error: 0.805
train_loss=0.937, state pred rel l2 error: 0.390, cumulative reward pred abs error: 0.804
train_loss=0.933, state pred rel l2 error: 0.291, cumulative reward pred abs error: 0.802
train_loss=0.937, state pred rel l2 error: 0.297, cumulative reward pred abs error: 0.800
train_loss=0.943, state pred rel l2 error: 0.307, cumulative reward pred abs error: 0.799
train_loss=0.920, state pred rel l2 error: 0.400, cumulative reward pred abs error: 0.797
train_loss=0.930, state pred rel l2 error: 0.410, cumulative reward pred abs error: 0.795
train_loss=0.908, state pred rel l2 error: 0.241, cumulative reward pred abs error: 0.793
train_loss=0.959, state pred rel l2 error: 0.262, cumulative reward pred abs error: 0.791
train_loss=0.900, state pred rel l2 error: 0.253, cumulative reward pred abs error: 0.790
train_loss=0.918, state pred rel l2 error: 0.249, cumulative reward pred abs error: 0.788
train_loss=0.909, state pred rel l2 error: 0.201, cumulative reward pred abs error: 0.786
train_loss=0.926, state pred rel l2 error: 0.250, cumulative reward pred abs error: 0.784
train_loss=0.897, state pred rel l2 error: 0.223, cumulative reward pred abs error: 0.782
train_loss=0.891, state pred rel l2 error: 0.183, cumulative reward pred abs error: 0.781
train_loss=0.862, state pred rel l2 error: 0.196, cumulative reward pred abs error: 0.779
train_loss=0.888, state pred rel l2 error: 0.253, cumulative reward pred abs error: 0.777
train_loss=0.857, state pred rel l2 error: 0.182, cumulative reward pred abs error: 0.775
train_loss=0.850, state pred rel l2 error: 0.169, cumulative reward pred abs error: 0.773
train_loss=0.862, state pred rel l2 error: 0.192, cumulative reward pred abs error: 0.771
train_loss=0.861, state pred rel l2 error: 0.182, cumulative reward pred abs error: 0.769
train_loss=0.848, state pred rel l2 error: 0.265, cumulative reward pred abs error: 0.767
train_loss=0.854, state pred rel l2 error: 0.209, cumulative reward pred abs error: 0.764
train_loss=0.868, state pred rel l2 error: 0.227, cumulative reward pred abs error: 0.762
train_loss=0.853, state pred rel l2 error: 0.238, cumulative reward pred abs error: 0.760
train_loss=0.831, state pred rel l2 error: 0.157, cumulative reward pred abs error: 0.758
train_loss=0.831, state pred rel l2 error: 0.144, cumulative reward pred abs error: 0.756
train_loss=0.845, state pred rel l2 error: 0.143, cumulative reward pred abs error: 0.754
train_loss=0.838, state pred rel l2 error: 0.189, cumulative reward pred abs error: 0.751
train_loss=0.858, state pred rel l2 error: 0.203, cumulative reward pred abs error: 0.749
train_loss=0.855, state pred rel l2 error: 0.173, cumulative reward pred abs error: 0.747
train_loss=0.825, state pred rel l2 error: 0.168, cumulative reward pred abs error: 0.745
train_loss=0.834, state pred rel l2 error: 0.155, cumulative reward pred abs error: 0.742
train_loss=0.827, state pred rel l2 error: 0.158, cumulative reward pred abs error: 0.740
train_loss=0.825, state pred rel l2 error: 0.162, cumulative reward pred abs error: 0.738
train_loss=0.853, state pred rel l2 error: 0.187, cumulative reward pred abs error: 0.735
train_loss=0.844, state pred rel l2 error: 0.187, cumulative reward pred abs error: 0.732
train_loss=0.816, state pred rel l2 error: 0.186, cumulative reward pred abs error: 0.730
train_loss=0.843, state pred rel l2 error: 0.172, cumulative reward pred abs error: 0.727
train_loss=0.842, state pred rel l2 error: 0.267, cumulative reward pred abs error: 0.725
train_loss=0.865, state pred rel l2 error: 0.167, cumulative reward pred abs error: 0.722
train_loss=0.830, state pred rel l2 error: 0.159, cumulative reward pred abs error: 0.720
train_loss=0.853, state pred rel l2 error: 0.206, cumulative reward pred abs error: 0.717
train_loss=0.804, state pred rel l2 error: 0.163, cumulative reward pred abs error: 0.714
train_loss=0.789, state pred rel l2 error: 0.171, cumulative reward pred abs error: 0.711
train_loss=0.788, state pred rel l2 error: 0.190, cumulative reward pred abs error: 0.709
train_loss=0.807, state pred rel l2 error: 0.175, cumulative reward pred abs error: 0.706
train_loss=0.815, state pred rel l2 error: 0.166, cumulative reward pred abs error: 0.703
train_loss=0.859, state pred rel l2 error: 0.208, cumulative reward pred abs error: 0.700
train_loss=0.783, state pred rel l2 error: 0.213, cumulative reward pred abs error: 0.697
train_loss=0.796, state pred rel l2 error: 0.170, cumulative reward pred abs error: 0.694
train_loss=0.778, state pred rel l2 error: 0.164, cumulative reward pred abs error: 0.691
train_loss=0.796, state pred rel l2 error: 0.228, cumulative reward pred abs error: 0.688
train_loss=0.775, state pred rel l2 error: 0.166, cumulative reward pred abs error: 0.685
train_loss=0.797, state pred rel l2 error: 0.188, cumulative reward pred abs error: 0.682
train_loss=0.768, state pred rel l2 error: 0.230, cumulative reward pred abs error: 0.678
train_loss=0.773, state pred rel l2 error: 0.207, cumulative reward pred abs error: 0.676
train_loss=0.761, state pred rel l2 error: 0.193, cumulative reward pred abs error: 0.672
train_loss=0.755, state pred rel l2 error: 0.139, cumulative reward pred abs error: 0.669
train_loss=0.754, state pred rel l2 error: 0.159, cumulative reward pred abs error: 0.665
train_loss=0.760, state pred rel l2 error: 0.175, cumulative reward pred abs error: 0.662
train_loss=0.754, state pred rel l2 error: 0.203, cumulative reward pred abs error: 0.658
train_loss=0.736, state pred rel l2 error: 0.165, cumulative reward pred abs error: 0.654
train_loss=0.734, state pred rel l2 error: 0.191, cumulative reward pred abs error: 0.651
train_loss=0.754, state pred rel l2 error: 0.162, cumulative reward pred abs error: 0.648
