(400, 22) (100, 22)
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
train_loss=6.159, state pred rel l2 error: 0.970, cumulative reward pred abs error: 0.267
train_loss=6.241, state pred rel l2 error: 0.991, cumulative reward pred abs error: 0.266
train_loss=6.154, state pred rel l2 error: 0.962, cumulative reward pred abs error: 0.265
train_loss=6.140, state pred rel l2 error: 0.953, cumulative reward pred abs error: 0.265
train_loss=6.125, state pred rel l2 error: 0.931, cumulative reward pred abs error: 0.264
train_loss=6.098, state pred rel l2 error: 0.921, cumulative reward pred abs error: 0.263
train_loss=6.011, state pred rel l2 error: 0.949, cumulative reward pred abs error: 0.263
train_loss=6.049, state pred rel l2 error: 0.916, cumulative reward pred abs error: 0.262
train_loss=5.967, state pred rel l2 error: 0.899, cumulative reward pred abs error: 0.261
train_loss=5.969, state pred rel l2 error: 0.956, cumulative reward pred abs error: 0.262
train_loss=6.060, state pred rel l2 error: 0.901, cumulative reward pred abs error: 0.262
train_loss=6.004, state pred rel l2 error: 0.915, cumulative reward pred abs error: 0.262
train_loss=6.213, state pred rel l2 error: 1.005, cumulative reward pred abs error: 0.261
train_loss=6.218, state pred rel l2 error: 0.893, cumulative reward pred abs error: 0.261
train_loss=5.966, state pred rel l2 error: 0.910, cumulative reward pred abs error: 0.261
train_loss=6.121, state pred rel l2 error: 0.864, cumulative reward pred abs error: 0.260
train_loss=5.707, state pred rel l2 error: 0.884, cumulative reward pred abs error: 0.260
train_loss=5.838, state pred rel l2 error: 0.826, cumulative reward pred abs error: 0.259
train_loss=6.137, state pred rel l2 error: 0.876, cumulative reward pred abs error: 0.259
train_loss=6.125, state pred rel l2 error: 0.836, cumulative reward pred abs error: 0.258
train_loss=5.779, state pred rel l2 error: 0.797, cumulative reward pred abs error: 0.258
train_loss=5.869, state pred rel l2 error: 0.861, cumulative reward pred abs error: 0.258
train_loss=5.800, state pred rel l2 error: 0.924, cumulative reward pred abs error: 0.257
train_loss=5.927, state pred rel l2 error: 0.879, cumulative reward pred abs error: 0.258
train_loss=5.817, state pred rel l2 error: 0.839, cumulative reward pred abs error: 0.257
train_loss=5.636, state pred rel l2 error: 0.822, cumulative reward pred abs error: 0.257
train_loss=6.092, state pred rel l2 error: 0.867, cumulative reward pred abs error: 0.257
train_loss=5.992, state pred rel l2 error: 0.839, cumulative reward pred abs error: 0.257
train_loss=5.478, state pred rel l2 error: 0.878, cumulative reward pred abs error: 0.256
train_loss=5.418, state pred rel l2 error: 0.792, cumulative reward pred abs error: 0.256
train_loss=5.835, state pred rel l2 error: 0.812, cumulative reward pred abs error: 0.256
