(400, 13) (100, 13)
[34m[1mwandb[0m: wandb.init() called while a run is active and reinit is set to 'default', so returning the previous run.
train_loss=17.850, state pred rel l2 error: 3.721, cumulative reward pred abs error: 0.955
train_loss=16.247, state pred rel l2 error: 3.420, cumulative reward pred abs error: 0.952
train_loss=14.505, state pred rel l2 error: 3.008, cumulative reward pred abs error: 0.946
train_loss=13.439, state pred rel l2 error: 3.738, cumulative reward pred abs error: 0.946
train_loss=13.718, state pred rel l2 error: 3.109, cumulative reward pred abs error: 0.948
train_loss=12.641, state pred rel l2 error: 3.164, cumulative reward pred abs error: 0.941
train_loss=10.692, state pred rel l2 error: 4.351, cumulative reward pred abs error: 0.935
train_loss=11.668, state pred rel l2 error: 2.925, cumulative reward pred abs error: 0.934
train_loss=12.217, state pred rel l2 error: 4.282, cumulative reward pred abs error: 0.930
train_loss=12.179, state pred rel l2 error: 3.785, cumulative reward pred abs error: 0.933
train_loss=11.119, state pred rel l2 error: 3.476, cumulative reward pred abs error: 0.933
train_loss=11.163, state pred rel l2 error: 4.209, cumulative reward pred abs error: 0.936
train_loss=12.315, state pred rel l2 error: 3.515, cumulative reward pred abs error: 0.933
train_loss=5.219, state pred rel l2 error: 3.231, cumulative reward pred abs error: 0.927
train_loss=9.474, state pred rel l2 error: 2.754, cumulative reward pred abs error: 0.928
train_loss=9.299, state pred rel l2 error: 3.645, cumulative reward pred abs error: 0.921
train_loss=8.680, state pred rel l2 error: 3.480, cumulative reward pred abs error: 0.920
train_loss=9.566, state pred rel l2 error: 3.044, cumulative reward pred abs error: 0.919
train_loss=9.092, state pred rel l2 error: 3.066, cumulative reward pred abs error: 0.917
train_loss=13.710, state pred rel l2 error: 3.321, cumulative reward pred abs error: 0.916
train_loss=8.880, state pred rel l2 error: 3.044, cumulative reward pred abs error: 0.913
train_loss=9.538, state pred rel l2 error: 3.877, cumulative reward pred abs error: 0.915
train_loss=7.988, state pred rel l2 error: 3.481, cumulative reward pred abs error: 0.917
train_loss=7.900, state pred rel l2 error: 3.677, cumulative reward pred abs error: 0.909
train_loss=8.859, state pred rel l2 error: 2.683, cumulative reward pred abs error: 0.910
train_loss=7.526, state pred rel l2 error: 3.393, cumulative reward pred abs error: 0.906
train_loss=8.826, state pred rel l2 error: 2.858, cumulative reward pred abs error: 0.911
train_loss=7.887, state pred rel l2 error: 2.581, cumulative reward pred abs error: 0.909
train_loss=7.208, state pred rel l2 error: 3.869, cumulative reward pred abs error: 0.903
train_loss=7.794, state pred rel l2 error: 2.700, cumulative reward pred abs error: 0.900
train_loss=7.406, state pred rel l2 error: 3.569, cumulative reward pred abs error: 0.897
train_loss=7.287, state pred rel l2 error: 3.582, cumulative reward pred abs error: 0.891
train_loss=8.015, state pred rel l2 error: 3.337, cumulative reward pred abs error: 0.893
train_loss=7.282, state pred rel l2 error: 2.543, cumulative reward pred abs error: 0.896
train_loss=6.822, state pred rel l2 error: 2.418, cumulative reward pred abs error: 0.893
train_loss=6.363, state pred rel l2 error: 2.691, cumulative reward pred abs error: 0.893
train_loss=8.685, state pred rel l2 error: 2.976, cumulative reward pred abs error: 0.894
train_loss=5.335, state pred rel l2 error: 2.672, cumulative reward pred abs error: 0.890
train_loss=8.467, state pred rel l2 error: 3.102, cumulative reward pred abs error: 0.887
train_loss=5.729, state pred rel l2 error: 3.304, cumulative reward pred abs error: 0.885
train_loss=8.740, state pred rel l2 error: 2.494, cumulative reward pred abs error: 0.884
train_loss=6.017, state pred rel l2 error: 2.285, cumulative reward pred abs error: 0.880
train_loss=5.055, state pred rel l2 error: 2.558, cumulative reward pred abs error: 0.877
train_loss=5.309, state pred rel l2 error: 2.404, cumulative reward pred abs error: 0.876
train_loss=5.261, state pred rel l2 error: 2.612, cumulative reward pred abs error: 0.872
train_loss=5.631, state pred rel l2 error: 2.031, cumulative reward pred abs error: 0.874
train_loss=7.161, state pred rel l2 error: 2.482, cumulative reward pred abs error: 0.871
train_loss=5.206, state pred rel l2 error: 2.163, cumulative reward pred abs error: 0.872
train_loss=5.965, state pred rel l2 error: 2.492, cumulative reward pred abs error: 0.871
train_loss=5.371, state pred rel l2 error: 2.560, cumulative reward pred abs error: 0.865
train_loss=4.104, state pred rel l2 error: 3.262, cumulative reward pred abs error: 0.862
train_loss=3.319, state pred rel l2 error: 2.062, cumulative reward pred abs error: 0.867
train_loss=4.356, state pred rel l2 error: 3.408, cumulative reward pred abs error: 0.865
train_loss=7.769, state pred rel l2 error: 2.023, cumulative reward pred abs error: 0.861
train_loss=5.992, state pred rel l2 error: 3.143, cumulative reward pred abs error: 0.860
train_loss=5.475, state pred rel l2 error: 2.425, cumulative reward pred abs error: 0.855
train_loss=3.250, state pred rel l2 error: 3.472, cumulative reward pred abs error: 0.852
train_loss=4.504, state pred rel l2 error: 2.254, cumulative reward pred abs error: 0.851
train_loss=3.624, state pred rel l2 error: 2.080, cumulative reward pred abs error: 0.850
train_loss=4.301, state pred rel l2 error: 1.855, cumulative reward pred abs error: 0.850
train_loss=5.372, state pred rel l2 error: 2.336, cumulative reward pred abs error: 0.848
train_loss=2.761, state pred rel l2 error: 2.021, cumulative reward pred abs error: 0.845
train_loss=3.133, state pred rel l2 error: 2.063, cumulative reward pred abs error: 0.847
train_loss=3.019, state pred rel l2 error: 2.017, cumulative reward pred abs error: 0.847
train_loss=3.831, state pred rel l2 error: 2.513, cumulative reward pred abs error: 0.845
train_loss=5.834, state pred rel l2 error: 1.547, cumulative reward pred abs error: 0.844
train_loss=2.565, state pred rel l2 error: 3.234, cumulative reward pred abs error: 0.845
train_loss=1.941, state pred rel l2 error: 2.071, cumulative reward pred abs error: 0.843
train_loss=3.453, state pred rel l2 error: 3.084, cumulative reward pred abs error: 0.837
train_loss=4.063, state pred rel l2 error: 1.905, cumulative reward pred abs error: 0.833
train_loss=1.812, state pred rel l2 error: 1.775, cumulative reward pred abs error: 0.835
train_loss=2.277, state pred rel l2 error: 1.563, cumulative reward pred abs error: 0.834
train_loss=2.827, state pred rel l2 error: 2.265, cumulative reward pred abs error: 0.834
train_loss=1.514, state pred rel l2 error: 2.528, cumulative reward pred abs error: 0.829
train_loss=1.140, state pred rel l2 error: 2.166, cumulative reward pred abs error: 0.828
train_loss=3.653, state pred rel l2 error: 2.341, cumulative reward pred abs error: 0.827
train_loss=1.320, state pred rel l2 error: 2.243, cumulative reward pred abs error: 0.825
train_loss=2.160, state pred rel l2 error: 1.597, cumulative reward pred abs error: 0.826
train_loss=0.924, state pred rel l2 error: 1.558, cumulative reward pred abs error: 0.824
train_loss=3.664, state pred rel l2 error: 1.637, cumulative reward pred abs error: 0.826
train_loss=2.094, state pred rel l2 error: 1.270, cumulative reward pred abs error: 0.824
train_loss=2.675, state pred rel l2 error: 1.190, cumulative reward pred abs error: 0.822
train_loss=1.848, state pred rel l2 error: 1.792, cumulative reward pred abs error: 0.819
train_loss=1.093, state pred rel l2 error: 1.382, cumulative reward pred abs error: 0.822
train_loss=1.053, state pred rel l2 error: 1.301, cumulative reward pred abs error: 0.817
train_loss=0.716, state pred rel l2 error: 0.834, cumulative reward pred abs error: 0.816
